experiment_id,run_id,config_id,stratum_type,stratum_value,queries,retrieval_failures,generation_attempts,generation_failures,recall_at_1,recall_at_5,recall_at_10,mrr,bleu1,token_f1,bertscore_f1
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,question_type,multimodal,11,0,11,0,0.363636,0.545455,0.818182,0.469048,0.070336,0.124680,0.842315
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,question_type,transcript_dependent,16,0,16,0,0.437500,0.750000,0.937500,0.625000,0.154362,0.219267,0.871802
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,question_type,visual_dependent,18,0,18,0,0.666667,0.833333,0.944444,0.743056,0.115618,0.186168,0.858556
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,domain,lecture,15,0,15,0,0.400000,0.600000,0.866667,0.544445,0.103247,0.169399,0.859473
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,domain,tutorial,15,0,15,0,0.400000,0.666667,0.866667,0.515000,0.106846,0.159543,0.854765
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,domain,visually_dynamic,15,0,15,0,0.733333,0.933333,1.000000,0.842857,0.144883,0.219776,0.863649
paper_pilot_cuda_final_v3,run_02,rrf_relevance_order,overall,all,45,0,45,0,0.466667,0.755556,0.844444,0.598051,0.152208,0.221469,0.864704
paper_pilot_cuda_final_v3,run_02,rrf_relevance_order,question_type,multimodal,11,0,11,0,0.090909,0.636364,0.727273,0.326623,0.099589,0.164409,0.849645
paper_pilot_cuda_final_v3,run_02,rrf_relevance_order,question_type,transcript_dependent,16,0,16,0,0.500000,0.812500,0.937500,0.634549,0.196462,0.262486,0.877203
paper_pilot_cuda_final_v3,run_02,rrf_relevance_order,question_type,visual_dependent,18,0,18,0,0.666667,0.777778,0.833333,0.731482,0.145028,0.219879,0.862797
paper_pilot_cuda_final_v3,run_02,rrf_relevance_order,domain,lecture,15,0,15,0,0.333333,0.666667,0.733333,0.479630,0.124671,0.188427,0.861493
paper_pilot_cuda_final_v3,run_02,rrf_relevance_order,domain,tutorial,15,0,15,0,0.333333,0.600000,0.800000,0.484524,0.123354,0.176519,0.854181
paper_pilot_cuda_final_v3,run_02,rrf_relevance_order,domain,visually_dynamic,15,0,15,0,0.733333,1.000000,1.000000,0.830000,0.208600,0.299461,0.878438
paper_pilot_cuda_final_v3,run_02,text_only,overall,all,45,0,45,0,0.555556,0.733333,0.911111,0.656323,0.212940,0.296507,0.879302
paper_pilot_cuda_final_v3,run_02,text_only,question_type,multimodal,11,0,11,0,0.363636,0.545455,0.818182,0.469048,0.145530,0.221489,0.864203
paper_pilot_cuda_final_v3,run_02,text_only,question_type,transcript_dependent,16,0,16,0,0.500000,0.750000,0.937500,0.656250,0.235529,0.317218,0.889075
paper_pilot_cuda_final_v3,run_02,text_only,question_type,visual_dependent,18,0,18,0,0.722222,0.833333,0.944444,0.770833,0.234056,0.323942,0.879841
paper_pilot_cuda_final_v3,run_02,text_only,domain,lecture,15,0,15,0,0.466667,0.600000,0.866667,0.577778,0.222129,0.307212,0.879291
paper_pilot_cuda_final_v3,run_02,text_only,domain,tutorial,15,0,15,0,0.400000,0.666667,0.866667,0.515000,0.143596,0.208448,0.865636
paper_pilot_cuda_final_v3,run_02,text_only,domain,visually_dynamic,15,0,15,0,0.800000,0.933333,1.000000,0.876190,0.273096,0.373861,0.892978
paper_pilot_cuda_final_v3,run_02,whisper_medium,overall,all,45,0,45,0,0.422222,0.822222,0.933333,0.596235,0.121426,0.182585,0.858595
paper_pilot_cuda_final_v3,run_02,whisper_medium,question_type,multimodal,11,0,11,0,0.000000,0.545455,0.818182,0.284091,0.075406,0.126284,0.839731
paper_pilot_cuda_final_v3,run_02,whisper_medium,question_type,transcript_dependent,16,0,16,0,0.500000,1.000000,1.000000,0.676042,0.164142,0.227402,0.871366
paper_pilot_cuda_final_v3,run_02,whisper_medium,question_type,visual_dependent,18,0,18,0,0.611111,0.833333,0.944444,0.716049,0.111581,0.177155,0.858771
paper_pilot_cuda_final_v3,run_02,whisper_medium,domain,lecture,15,0,15,0,0.266667,0.800000,0.933333,0.481852,0.108057,0.168632,0.856296
