experiment_id,run_id,config_id,scope,cache_state,metric,unit,observations,failures,mean,median,standard_deviation,p95
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,asr_ms,milliseconds,9,0,3954.597325,3550.693259,1190.804480,6226.161217
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,frame_extraction_ms,milliseconds,9,0,3.892786,3.772487,1.040437,6.236367
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,text_embedding_ms,milliseconds,9,0,871.745621,803.177827,245.519654,1530.635389
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,image_embedding_ms,milliseconds,9,0,7058.976939,3845.615287,5246.829468,15186.702181
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,indexing_ms,milliseconds,9,0,15.975496,3.606613,34.503605,113.547537
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,total_pipeline_ms,milliseconds,9,0,13134.119601,11900.029686,5123.399602,21718.968322
paper_pilot_cuda_final_v3,run_01,image_only,query,not_applicable,query_embedding_ms,milliseconds,45,0,13.957373,11.881671,7.531479,22.013360
paper_pilot_cuda_final_v3,run_01,image_only,query,not_applicable,retrieval_ms,milliseconds,45,0,0.218240,0.202920,0.060221,0.293064
paper_pilot_cuda_final_v3,run_01,image_only,query,not_applicable,generation_ms,milliseconds,45,0,7971.268834,6918.743168,3415.766604,14482.613995
paper_pilot_cuda_final_v3,run_01,image_only,query,not_applicable,total_pipeline_ms,milliseconds,45,0,7986.890492,6929.322188,3414.989483,14502.485221
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,30.507890,23.505273,15.609810,72.538075
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,audio_extraction_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,asr_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,frame_extraction_ms,milliseconds,9,0,11.096536,11.017420,3.311177,14.667546
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,text_embedding_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,image_embedding_ms,milliseconds,9,0,7106.421253,3810.660969,5073.570345,16076.694709
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,indexing_ms,milliseconds,9,0,1.984267,1.606640,0.642021,3.552259
paper_pilot_cuda_final_v3,run_01,image_only,video_preprocessing,warm,total_pipeline_ms,milliseconds,9,0,7271.542520,4012.754668,5071.732392,16262.846752
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,query,not_applicable,query_embedding_ms,milliseconds,45,0,11.772220,10.826622,2.391498,17.396770
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,query,not_applicable,retrieval_ms,milliseconds,45,0,0.360778,0.323342,0.077926,0.517274
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,query,not_applicable,generation_ms,milliseconds,45,0,6363.663671,5998.368121,2775.876211,10556.252050
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,query,not_applicable,total_pipeline_ms,milliseconds,45,0,6377.946181,6015.879106,2775.215004,10568.668863
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,29.709146,22.910783,14.611031,58.631028
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,audio_extraction_ms,milliseconds,9,0,1220.729406,1234.842348,119.804741,1409.404370
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,asr_ms,milliseconds,9,0,3496.324709,3477.982053,542.690250,4470.649775
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,frame_extraction_ms,milliseconds,9,0,3.559152,3.262189,1.020104,6.391517
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,text_embedding_ms,milliseconds,9,0,728.694800,714.184806,66.853645,863.437622
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,image_embedding_ms,milliseconds,9,0,6469.091791,3402.538607,4976.726481,15138.921719
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,indexing_ms,milliseconds,9,0,3.114320,3.106258,0.521323,4.394146
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,video_preprocessing,warm,total_pipeline_ms,milliseconds,9,0,12051.600863,8515.889712,5140.020282,21581.839933
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,query,not_applicable,query_embedding_ms,milliseconds,45,0,11.199333,11.004565,1.304000,13.464985
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,query,not_applicable,retrieval_ms,milliseconds,45,0,0.424226,0.338434,0.257288,0.691199
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,query,not_applicable,generation_ms,milliseconds,45,0,6168.667755,5535.496089,2135.089535,10245.457427
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,query,not_applicable,total_pipeline_ms,milliseconds,45,0,6182.552519,5547.472887,2135.498671,10258.303001
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,36.751675,33.288457,15.146200,71.649566
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,audio_extraction_ms,milliseconds,9,0,1191.159715,1205.497809,134.679344,1393.967482
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,video_preprocessing,warm,asr_ms,milliseconds,9,0,3686.700026,3632.004392,660.606067,5144.209895
