experiment_id,run_id,config_id,query_id,video_id,domain,question_type,recall_at_1,recall_at_5,recall_at_10,mrr,retrieval_success,generation_success,bleu1,token_f1,bertscore_f1,error
paper_pilot_cuda_final_v3,run_01,text_only,q029,vid_006,tutorial,visual_dependent,0.000000,1.000000,1.000000,0.250000,true,true,0.028571,0.051282,0.840447,
paper_pilot_cuda_final_v3,run_01,text_only,q030,vid_006,tutorial,transcript_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.062500,0.074074,0.844607,
paper_pilot_cuda_final_v3,run_01,text_only,q031,vid_007,visually_dynamic,transcript_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.017241,0.033898,0.819506,
paper_pilot_cuda_final_v3,run_01,text_only,q032,vid_007,visually_dynamic,multimodal,1.000000,1.000000,1.000000,1.000000,true,true,0.118421,0.211765,0.880759,
paper_pilot_cuda_final_v3,run_01,text_only,q033,vid_007,visually_dynamic,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.400000,0.533333,0.929555,
paper_pilot_cuda_final_v3,run_01,text_only,q034,vid_007,visually_dynamic,transcript_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.171053,0.285714,0.887948,
paper_pilot_cuda_final_v3,run_01,text_only,q035,vid_007,visually_dynamic,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.185185,0.243902,0.852782,
paper_pilot_cuda_final_v3,run_01,text_only,q036,vid_008,visually_dynamic,transcript_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.343750,0.458333,0.921659,
paper_pilot_cuda_final_v3,run_01,text_only,q037,vid_008,visually_dynamic,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.228916,0.351852,0.890050,
paper_pilot_cuda_final_v3,run_01,text_only,q038,vid_008,visually_dynamic,multimodal,0.000000,0.000000,1.000000,0.142857,true,true,0.172414,0.246914,0.872714,
paper_pilot_cuda_final_v3,run_01,text_only,q039,vid_008,visually_dynamic,transcript_dependent,0.000000,1.000000,1.000000,0.500000,true,true,0.055556,0.098361,0.851843,
paper_pilot_cuda_final_v3,run_01,text_only,q040,vid_008,visually_dynamic,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.212500,0.330097,0.886030,
